,C,D,L,uid,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,p,zeta,_destination_path,alpha,beta
453,0.15246169157340003,0.15834592217879997,0.6891707220586001,679.0,Neither,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
454,0.05390749530800001,0.07610871175600001,0.8699662083330001,680.0,Both,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
455,0.16512136744,0.22828605372599994,0.6065816072730001,681.0,Defector,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
456,0.127638423767,0.18809867684499998,0.684245989991,682.0,Loner,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
457,0.150594507384,0.17522254018940003,0.674161117121,683.0,Neither,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
458,0.043902867514,0.080654154869,0.8754219474270001,684.0,Both,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
459,0.18927158270799999,0.24315850216399998,0.567559596672,685.0,Defector,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
460,0.13339629049466667,0.20131310373199998,0.6652739663706668,686.0,Loner,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
461,0.1439616749174,0.16703320590940002,0.6889846456930001,687.0,Neither,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
462,0.044834800577000004,0.070666411569,0.884475524627,688.0,Both,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
463,0.041664358149,0.07121084193100001,0.8870996107419998,692.0,Both,200000,3.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
464,0.0,0.0,1.0,705.0,Defector,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
465,0.0,0.0,1.0,706.0,Loner,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
466,0.0,0.0,1.0,707.0,Neither,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
467,0.0,0.0,1.0,708.0,Both,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
468,0.0027320499170000005,8.858310000000002e-06,0.9972421330000002,709.0,Defector,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
469,0.0006339360490000001,3.6852984e-05,0.9993246519999999,710.0,Loner,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
470,0.0033994413140000005,8.403222999999999e-06,0.9965719090000001,711.0,Neither,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
471,0.0006351150760000001,3.3513492e-05,0.999327158,712.0,Both,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
472,0.139786598676,0.0833131389994,0.776891864933,713.0,Defector,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
473,0.082225779442,0.05860739465,0.859159662552,714.0,Loner,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
474,0.11478381471000003,0.08764367649299998,0.797558954041,715.0,Neither,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
475,0.039778348273,0.021229197340000002,0.9389882005835,716.0,Both,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
476,0.139300165728,0.11660566540600001,0.744087053772,717.0,Defector,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
477,0.09023191049200001,0.102181732405,0.807580094242,718.0,Loner,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
478,0.11635855881300002,0.11336724693320002,0.7702598415569999,719.0,Neither,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
479,0.030494341391999996,0.04087371847599999,0.928628505996,720.0,Both,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
480,0.165647764167,0.178863961059,0.655476998107,721.0,Defector,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
481,0.13029908986499997,0.1791492539,0.690535094263,722.0,Loner,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
482,0.15456626528999998,0.146582549166,0.6988290862699998,723.0,Neither,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
483,0.045759647598000004,0.06533534157399999,0.8888872423740002,724.0,Both,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
484,0.161851384311,0.22378826082699999,0.614348803877,725.0,Defector,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
485,0.125827906642,0.19454576662000003,0.679609612622,726.0,Loner,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
486,0.1574315090364,0.18756086922339996,0.654985669634,727.0,Neither,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
487,0.051204801776,0.074938092108,0.873835825386,728.0,Both,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
488,0.17391805871200003,0.26418402596400004,0.561885807944,729.0,Defector,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
489,0.12932003417899998,0.20350460062100004,0.6671585124030001,730.0,Loner,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
490,0.1349673871786,0.1765962354361,0.6884150394890001,731.0,Neither,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
491,0.04434463495699999,0.07863700054,0.876995696742,732.0,Both,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
492,0.15938497454000003,0.25334764800000004,0.587255475196,733.0,Defector,200000,3.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
493,0.0,0.0,1.0,749.0,Defector,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
494,0.0,0.0,1.0,750.0,Loner,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
495,0.0,0.0,1.0,751.0,Neither,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
496,0.0,0.0,1.0,752.0,Both,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
497,0.002544627874,9.218596e-06,0.9974296769999997,753.0,Defector,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
498,0.000636857856,3.368327599999999e-05,0.999325328,754.0,Loner,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
499,0.0029610834649999996,9.265511000000001e-06,0.9970114800000002,755.0,Neither,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
500,0.000603338387,3.4962021e-05,0.9993575959999998,756.0,Both,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
501,0.148918569144,0.0840743334156,0.766997906065,757.0,Defector,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
502,0.088460636789,0.060864715305999996,0.8506668279630001,758.0,Loner,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
503,0.11944469539,0.09069059678949999,0.7898499611300002,759.0,Neither,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
504,0.042119997134000005,0.020983250789000003,0.936892277588,760.0,Both,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
