,C,D,L,p,norm
756,0.435,0.0577,0.5073,9,Both
755,0.5273,0.0465,0.426,9,Neither
933,0.9336,0.0574,0.009186,9,Defector
934,0.794,0.0742,0.132,9,Loner
935,0.4966,0.05432,0.4492,9,Neither
936,0.411,0.05692,0.532,9,Both
754,0.61,0.06085,0.329,9,Loner
36,0.4194,0.0554,0.5254,9,Both
876,0.4155,0.0568,0.5273,9,Both
875,0.2812,0.0552,0.6636,9,Neither
996,0.4023,0.05075,0.547,9,Both
35,0.4421,0.04773,0.5103,9,Neither
33,0.9316,0.0678,0.000564,9,Defector
334,0.9346,0.01048,0.0547,9,Loner
1173,0.968,0.0317,0.000281,9,Defector
1174,0.6553,0.0566,0.288,9,Loner
516,0.52,0.04596,0.434,9,Both
456,0.381,0.0605,0.5586,9,Both
455,0.4717,0.0573,0.471,9,Neither
1056,0.4973,0.05115,0.4514,9,Both
1055,0.403,0.05157,0.5454,9,Neither
993,0.4663,0.0671,0.4666,9,Defector
753,0.5024,0.0755,0.422,9,Defector
994,0.593,0.0632,0.3442,9,Loner
1054,0.756,0.04053,0.2037,9,Loner
454,0.629,0.056,0.3152,9,Loner
813,0.856,0.08026,0.0638,9,Defector
814,0.594,0.0702,0.3357,9,Loner
636,0.526,0.04794,0.4263,9,Both
635,0.4153,0.0535,0.5312,9,Neither
634,0.7476,0.04907,0.2035,9,Loner
633,0.7886,0.05234,0.1589,9,Defector
995,0.4243,0.0606,0.515,9,Neither
34,0.679,0.05698,0.2637,9,Loner
576,0.4675,0.05014,0.4824,9,Both
574,0.689,0.0617,0.2495,9,Loner
216,0.584,0.04294,0.373,9,Both
215,0.5776,0.03662,0.3857,9,Neither
214,0.8345,0.03577,0.1296,9,Loner
96,0.3223,0.0615,0.616,9,Both
95,0.595,0.0399,0.3647,9,Neither
94,0.777,0.05734,0.1659,9,Loner
213,0.9253,0.03238,0.04218,9,Defector
333,0.8833,0.06274,0.0539,9,Defector
575,0.498,0.0517,0.4502,9,Neither
513,0.9346,0.0584,0.00683,9,Defector
1175,0.375,0.0625,0.5625,9,Neither
514,0.7275,0.05243,0.22,9,Loner
1176,0.4912,0.05243,0.4563,9,Both
515,0.375,0.0646,0.5605,9,Neither
816,0.4734,0.05392,0.4727,9,Both
815,0.711,0.03333,0.2556,9,Neither
573,0.931,0.06433,0.004654,9,Defector
93,0.898,0.03616,0.06604,9,Defector
276,0.511,0.04623,0.4426,9,Both
757,0.579,0.0534,0.3674,10,Defector
1000,0.4597,0.05197,0.4883,10,Both
759,0.3584,0.06183,0.5796,10,Neither
160,0.4094,0.0627,0.528,10,Both
159,0.6074,0.0413,0.3513,10,Neither
820,0.4314,0.05252,0.516,10,Both
819,0.682,0.02913,0.2886,10,Neither
818,0.86,0.02415,0.1159,10,Loner
817,0.9277,0.0619,0.01055,10,Defector
457,0.886,0.0666,0.0469,10,Defector
458,0.894,0.06555,0.0402,10,Loner
459,0.2988,0.06027,0.641,10,Neither
460,0.4326,0.0492,0.518,10,Both
1120,0.5107,0.04758,0.442,10,Both
758,0.6875,0.05765,0.2546,10,Loner
1119,0.531,0.04788,0.4214,10,Neither
217,0.4678,0.0614,0.471,10,Defector
218,0.9136,0.0634,0.02281,10,Loner
219,0.476,0.05545,0.4685,10,Neither
220,0.458,0.056,0.486,10,Both
877,0.9014,0.03069,0.0681,10,Defector
878,0.8926,0.02522,0.0823,10,Loner
879,0.5396,0.04633,0.4143,10,Neither
880,0.599,0.04376,0.357,10,Both
158,0.9336,0.06616,0.0001699,10,Loner
157,0.9336,0.0599,0.00635,10,Defector
760,0.5137,0.04208,0.4443,10,Both
1118,0.7964,0.04205,0.1615,10,Loner
1117,0.787,0.03772,0.1753,10,Defector
278,0.8354,0.0755,0.0892,10,Loner
518,0.844,0.05258,0.1033,10,Loner
940,0.41,0.05325,0.5366,10,Both
517,0.867,0.0417,0.0911,10,Defector
100,0.543,0.0448,0.4124,10,Both
99,0.5273,0.05786,0.4146,10,Neither
98,0.8257,0.05847,0.116,10,Loner
97,0.9346,0.05838,0.006832,10,Defector
1180,0.613,0.04297,0.3442,10,Both
1179,0.4521,0.04794,0.4998,10,Neither
1060,0.4321,0.05127,0.5166,10,Both
577,0.879,0.0725,0.04837,10,Defector
578,0.6567,0.06445,0.2788,10,Loner
579,0.498,0.0455,0.4565,10,Neither
580,0.432,0.05026,0.5176,10,Both
397,0.88,0.0501,0.06995,10,Defector
1059,0.548,0.04874,0.4036,10,Neither
1057,0.902,0.04465,0.05356,10,Defector
639,0.546,0.05148,0.4028,10,Neither
638,0.8945,0.06616,0.0392,10,Loner
637,0.9224,0.0502,0.02716,10,Defector
1177,0.9307,0.0666,0.00275,10,Defector
1178,0.9336,0.0662,0.0001268,10,Loner
337,0.8726,0.08777,0.03986,10,Defector
338,0.6245,0.0639,0.3118,10,Loner
339,0.4644,0.0543,0.4814,10,Neither
340,0.4434,0.04834,0.5083,10,Both
997,0.9326,0.0626,0.004738,10,Defector
998,0.9336,0.0664,0.0001442,10,Loner
999,0.3787,0.05908,0.562,10,Neither
1058,0.8013,0.04507,0.1536,10,Loner
398,0.8633,0.03403,0.1027,10,Loner
640,0.4495,0.05206,0.4985,10,Both
698,0.6953,0.06946,0.2352,10,Loner
40,0.536,0.0454,0.4182,10,Both
697,0.9316,0.06604,0.00209,10,Defector
280,0.4927,0.04684,0.4604,10,Both
279,0.4321,0.04648,0.5215,10,Neither
277,0.863,0.02489,0.1122,10,Defector
39,0.491,0.0582,0.4507,10,Neither
400,0.3896,0.057,0.553,10,Both
937,0.925,0.02972,0.0453,10,Defector
938,0.697,0.04523,0.2578,10,Loner
399,0.4954,0.05646,0.4482,10,Neither
939,0.4553,0.04953,0.495,10,Neither
699,0.6035,0.03754,0.359,10,Neither
700,0.615,0.0419,0.3428,10,Both
519,0.577,0.03818,0.3845,10,Neither
38,0.6816,0.06052,0.2576,10,Loner
37,0.9307,0.0609,0.00833,10,Defector
520,0.4592,0.05154,0.4893,10,Both
163,0.53,0.04758,0.4226,11,Neither
1004,0.501,0.04727,0.4517,11,Both
1002,0.6123,0.0601,0.3276,11,Loner
162,0.696,0.05923,0.2448,11,Loner
1001,0.912,0.05667,0.031,11,Defector
161,0.934,0.0534,0.0123,11,Defector
164,0.4583,0.05435,0.4873,11,Both
41,0.714,0.0508,0.2351,11,Defector
1003,0.555,0.0466,0.3982,11,Neither
42,0.7666,0.0655,0.1681,11,Loner
1062,0.894,0.03296,0.07275,11,Loner
44,0.4119,0.05017,0.538,11,Both
941,0.935,0.05365,0.01139,11,Defector
942,0.8438,0.03937,0.11694,11,Loner
943,0.473,0.04834,0.4788,11,Neither
944,0.5815,0.04446,0.374,11,Both
104,0.3782,0.0466,0.575,11,Both
102,0.8613,0.04858,0.09015,11,Loner
101,0.764,0.073,0.163,11,Defector
881,0.9326,0.061,0.00617,11,Defector
43,0.4841,0.0501,0.4658,11,Neither
882,0.758,0.03995,0.2023,11,Loner
884,0.3127,0.06094,0.6265,11,Both
1121,0.935,0.05328,0.01148,11,Defector
1122,0.933,0.0666,0.0001255,11,Loner
1123,0.4531,0.04562,0.5015,11,Neither
1124,0.583,0.03973,0.3772,11,Both
1061,0.624,0.05087,0.325,11,Defector
1063,0.3005,0.0647,0.635,11,Neither
1064,0.732,0.02667,0.2415,11,Both
883,0.3313,0.05725,0.6113,11,Neither
103,0.3977,0.05222,0.5503,11,Neither
224,0.4248,0.05392,0.5215,11,Both
584,0.5264,0.05078,0.423,11,Both
344,0.51,0.04788,0.4424,11,Both
343,0.6304,0.03177,0.338,11,Neither
342,0.7837,0.0556,0.1605,11,Loner
341,0.6123,0.08777,0.2998,11,Defector
641,0.7734,0.03656,0.19,11,Defector
642,0.753,0.05133,0.1956,11,Loner
643,0.377,0.05878,0.564,11,Neither
644,0.385,0.06415,0.551,11,Both
521,0.971,0.0279,0.000885,11,Defector
1181,0.8755,0.08575,0.03882,11,Defector
1182,0.646,0.05338,0.3008,11,Loner
524,0.593,0.04758,0.3594,11,Both
523,0.7114,0.0384,0.25,11,Neither
223,0.536,0.04547,0.4185,11,Neither
522,0.9346,0.06085,0.00462,11,Loner
763,0.4863,0.04794,0.4658,11,Neither
762,0.887,0.06506,0.0475,11,Loner
761,0.5015,0.07605,0.4224,11,Defector
284,0.676,0.03537,0.2886,11,Both
1184,0.4043,0.05496,0.5405,11,Both
1183,0.5195,0.0479,0.4324,11,Neither
281,0.924,0.05893,0.0172,11,Defector
282,0.848,0.0381,0.1139,11,Loner
283,0.4207,0.05154,0.528,11,Neither
701,0.932,0.06793,0.0001054,11,Defector
702,0.8896,0.03598,0.0744,11,Loner
703,0.3115,0.06757,0.621,11,Neither
704,0.4827,0.0491,0.4683,11,Both
764,0.5454,0.0462,0.4084,11,Both
222,0.871,0.04276,0.086,11,Loner
404,0.4773,0.0503,0.4724,11,Both
821,0.748,0.05325,0.1989,11,Defector
221,0.805,0.03436,0.1603,11,Defector
464,0.7207,0.02797,0.2515,11,Both
463,0.4978,0.04834,0.4539,11,Neither
403,0.3657,0.05075,0.5835,11,Neither
402,0.562,0.0635,0.3743,11,Loner
581,0.969,0.02946,0.001447,11,Defector
582,0.6167,0.05457,0.3289,11,Loner
583,0.4832,0.05444,0.4624,11,Neither
401,0.826,0.0391,0.1349,11,Defector
822,0.669,0.0568,0.2744,11,Loner
461,0.973,0.02466,0.002337,11,Defector
824,0.5654,0.04605,0.3887,11,Both
823,0.4478,0.05304,0.4993,11,Neither
462,0.6035,0.06012,0.3362,11,Loner
586,0.5527,0.08057,0.3667,12,Loner
948,0.4492,0.05542,0.4954,12,Both
947,0.4722,0.04846,0.4792,12,Neither
946,0.613,0.0666,0.3206,12,Loner
585,0.935,0.05328,0.011566,12,Defector
708,0.3992,0.05246,0.5483,12,Both
707,0.4443,0.0512,0.5044,12,Neither
48,0.4102,0.05078,0.539,12,Both
706,0.957,0.02904,0.013664,12,Loner
287,0.4497,0.05432,0.4958,12,Neither
286,0.859,0.06006,0.08124,12,Loner
285,0.862,0.05075,0.0875,12,Defector
46,0.83,0.02158,0.1482,12,Loner
705,0.5967,0.0524,0.3508,12,Defector
588,0.4397,0.0613,0.4988,12,Both
587,0.3804,0.06012,0.5596,12,Neither
47,0.4502,0.05344,0.4963,12,Neither
45,0.667,0.05533,0.2776,12,Defector
525,0.5156,0.06158,0.4226,12,Defector
526,0.894,0.0676,0.0384,12,Loner
348,0.471,0.04947,0.4795,12,Both
347,0.4397,0.05438,0.506,12,Neither
346,0.894,0.0674,0.0388,12,Loner
345,0.931,0.0685,0.000254,12,Defector
1005,0.933,0.05396,0.01269,12,Defector
1006,0.7524,0.0538,0.1935,12,Loner
1007,0.4365,0.04837,0.515,12,Neither
1008,0.7065,0.03093,0.2622,12,Both
1068,0.4207,0.05756,0.5215,12,Both
1067,0.4111,0.0514,0.5376,12,Neither
1066,0.9717,0.02776,0.000508,12,Loner
1125,0.9707,0.02673,0.002472,12,Defector
646,0.841,0.0539,0.1053,12,Loner
648,0.3506,0.0549,0.5947,12,Both
1128,0.433,0.05643,0.5103,12,Both
1127,0.531,0.04468,0.4248,12,Neither
1065,0.2837,0.0823,0.634,12,Defector
288,0.6753,0.0363,0.2883,12,Both
105,0.5215,0.07135,0.4072,12,Defector
106,0.9336,0.0659,0.000383,12,Loner
107,0.3652,0.06168,0.573,12,Neither
108,0.663,0.03806,0.2988,12,Both
528,0.4683,0.05377,0.4778,12,Both
527,0.589,0.0419,0.3694,12,Neither
647,0.63,0.0387,0.3315,12,Neither
645,0.3872,0.08954,0.523,12,Defector
