,C,D,L,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
129,0.23815775120000002,0.21742941910000002,0.5443944172000001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.55,0,2,0.1
130,0.25348858860000006,0.22828466020000004,0.5182065733,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.55,0,2,0.1
131,0.2278365292,0.20689217900000004,0.5652531426,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.55,0,2,0.1
132,0.2498832809,0.22876208209999996,0.5213379475,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.6,0,2,0.1
133,0.2438911082,0.22734414619999993,0.5287471993,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.6,0,2,0.1
134,0.2477541369,0.23534316419999998,0.5168838408000002,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.6,0,2,0.1
135,0.2328800331,0.21879855229999998,0.5483030902999999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.6,0,2,0.1
136,0.25819379940000003,0.242892206,0.498899856,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.65,0,2,0.1
137,0.2474315356,0.2356004165,0.5169528619999999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.65,0,2,0.1
138,0.24413588880000003,0.23826249590000004,0.5175854059999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.65,0,2,0.1
139,0.2431821904,0.22992657049999998,0.526876159,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.65,0,2,0.1
140,0.250806084,0.25048930199999997,0.498692855,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.7,0,2,0.1
141,0.24776962880000003,0.2421506813,0.510066647,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.7,0,2,0.1
142,0.25026726050000003,0.2436701919,0.506051106,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.7,0,2,0.1
143,0.24142575340000003,0.23857987080000004,0.5199830260000001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.7,0,2,0.1
144,0.2538132655999999,0.26362118570000004,0.4825583870000001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.75,0,2,0.1
145,0.254395187,0.25774054699999993,0.487857886,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.75,0,2,0.1
146,0.2501727844,0.25092506439999995,0.49889540400000004,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.75,0,2,0.1
147,0.2490455158,0.2559959182,0.494950548,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.75,0,2,0.1
148,0.26256801319999995,0.27657718059999997,0.46084773400000006,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.8,0,2,0.1
149,0.2642005266,0.2758254078,0.45996726299999996,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.8,0,2,0.1
150,0.260874908,0.267965196,0.4711547299999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.8,0,2,0.1
151,0.26330528340000003,0.2784876985,0.4581981540000001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.8,0,2,0.1
152,0.2720014944,0.314166348,0.41382354099999996,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.85,0,2,0.1
153,0.2770258503,0.29505991060000003,0.427905207,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.85,0,2,0.1
154,0.2711969391,0.2847152377,0.4440781529999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.85,0,2,0.1
