,Norm,p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
64,Defector,14,4.79371,0.58409,0.0,16.48891,0.0,1.8792,0.0,13.86227,2.134,0.0,15.72962,0.0,13.01671,0.0,,,,,,
65,Loner,14,281.21682,11.68593,0.0,36.54075,0.0,32.55497,0.0,76.65147,26.5124,0.0,51.05342,0.0,22.85102,0.0,,,,,,
66,Neither,14,0.00012,0.00674,0.0,0.30052,0.0,5.81993,0.0,564.29933,72.71044,0.0,66.76679,0.0,34.15167,0.0,,,,,,
67,Both,14,556.07884,5.61706,0.0,62.32996,0.0,1.55924,0.0,52.17694,1.03988,0.0,31.97825,0.0,3.9234,0.0,,,,,,
68,Defector,16,5.3481,0.0,0.53474,0.0,16.71395,0.0,0.95662,0.0,13.44949,0.0,2.69507,0.0,18.1284,0.0,12.91669,0.0,,,,
69,Loner,16,0.22785,0.0,0.00984,0.0,0.06493,0.0,0.91973,0.0,12.43624,0.0,26.59902,0.0,21.0368,0.0,16.32419,0.0,,,,
70,Neither,16,1e-05,0.0,0.00417,0.0,0.20801,0.0,3.90757,0.0,383.12486,0.0,50.44992,0.0,52.51687,0.0,33.71608,0.0,,,,
71,Both,16,475.28656,0.0,4.81416,0.0,60.09309,0.0,1.47027,0.0,51.17834,0.0,1.17603,0.0,35.01703,0.0,4.70716,0.0,,,,
72,Defector,18,7.97185,0.0,0.88878,0.0,20.97817,0.0,2.11631,0.0,0.0,12.33089,0.0,2.08805,0.0,16.82203,0.0,12.2072,0.0,0.0,,
73,Loner,18,238.77317,0.0,10.5669,0.0,34.51526,0.0,30.52622,0.0,0.0,65.19909,0.0,29.98408,0.0,41.78015,0.0,26.41522,0.0,0.0,,
74,Neither,18,9e-05,0.0,0.00648,0.0,0.30742,0.0,5.98011,0.0,0.0,580.74537,0.0,63.68498,0.0,58.31327,0.0,31.29281,0.0,0.0,,
75,Both,18,311.56599,0.0,3.11725,0.0,42.62309,0.0,0.99488,0.0,0.0,36.97978,0.0,1.23674,0.0,29.02528,0.0,6.79893,0.0,0.0,,
76,Defector,20,11.95055,0.0,4.6191,0.0,0.0,26.7949,0.0,9.31612,0.0,0.0,150.21198,0.0,12.17561,0.0,0.0,27.37605,0.0,15.35537,0.0,0.0
77,Loner,20,98.81816,0.0,4.68506,0.0,0.0,16.37405,0.0,15.1496,0.0,0.0,30.8698,0.0,14.48935,0.0,0.0,29.41028,0.0,18.58959,0.0,0.0
78,Neither,20,1e-05,0.0,0.00402,0.0,0.0,0.1959,0.0,3.76375,0.0,0.0,369.71733,0.0,42.16003,0.0,0.0,42.55522,0.0,28.98194,0.0,0.0
79,Both,20,459.86496,0.0,4.62319,0.0,0.0,59.82461,0.0,1.41654,0.0,0.0,51.73139,0.0,1.1752,0.0,0.0,38.00273,0.0,4.97537,0.0,0.0
80,Defector,2,108.07684,910.70375,,,,,,,,,,,,,,,,,,
81,Loner,2,940.92421,123.43443,,,,,,,,,,,,,,,,,,
82,Neither,2,9.57832,1018.64646,,,,,,,,,,,,,,,,,,
83,Both,2,1037.31656,49.548,,,,,,,,,,,,,,,,,,
84,Defector,4,8.08711,34.09712,972.9583,81.07088,,,,,,,,,,,,,,,,
85,Loner,4,763.75702,108.00526,126.48983,50.56631,,,,,,,,,,,,,,,,
86,Neither,4,0.00995,10.50132,1014.76581,58.63863,,,,,,,,,,,,,,,,
87,Both,4,878.47307,81.88226,69.68168,29.52951,,,,,,,,,,,,,,,,
88,Defector,6,9.35533,10.25786,19.342,989.9047,38.38768,8.93858,,,,,,,,,,,,,,
89,Loner,6,654.19088,75.97305,57.73295,162.21453,61.64798,23.8371,,,,,,,,,,,,,,
90,Neither,6,0.01037,0.51835,10.40359,1049.34326,34.27652,6.10453,,,,,,,,,,,,,,
91,Both,6,648.40595,76.93158,1.79671,69.42618,34.83587,2.79801,,,,,,,,,,,,,,
92,Defector,8,5.66214,0.3902,17.26202,0.36491,8.87127,1.36461,14.6192,12.37686,,,,,,,,,,,,
93,Loner,8,593.63957,23.08881,66.89515,58.23024,127.20018,41.97172,73.78852,25.69327,,,,,,,,,,,,
94,Neither,8,9e-05,0.0086,0.43797,8.63183,828.22703,92.71447,88.05766,36.35394,,,,,,,,,,,,
95,Both,8,403.13301,4.14337,56.50834,1.277,47.77031,1.15155,31.87186,5.60968,,,,,,,,,,,,
96,Defector,10,12.35304,0.96321,24.93818,0.46171,0.0,9.11077,1.56422,15.21725,11.3209,0.0,,,,,,,,,,
97,Loner,10,258.73671,11.18925,35.38637,30.36617,0.0,61.80228,23.75738,40.95975,20.58594,0.0,,,,,,,,,,
98,Neither,10,3e-05,0.00547,0.28409,5.47516,0.0,531.586,64.26194,62.11485,34.43901,0.0,,,,,,,,,,
99,Both,10,317.47449,3.17838,41.1259,0.91587,0.0,35.35702,1.16837,27.35843,6.8751,0.0,,,,,,,,,,
100,Defector,12,8.37929,2.47188,0.0,21.40943,5.20126,0.0,95.46533,8.3077,0.0,26.2415,14.63998,0.0,,,,,,,,
101,Loner,12,0.22102,0.00648,0.0,0.04712,0.89748,0.0,12.60435,26.58194,0.0,20.53576,16.36862,0.0,,,,,,,,
