,C,D,L,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
97,0.1398201325,0.0831709888,0.7769943584000001,/tmpdir/job/1382628.98,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
98,0.15212135340000002,0.0946715127,0.7531907074,/tmpdir/job/1382628.99,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
99,0.1409736325,0.08556392200000001,0.7734456487,/tmpdir/job/1382628.100,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
100,0.17316228453599997,0.07615740135200001,0.7506710657479999,/tmpdir/job/1382628.101,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
101,0.14871571928200003,0.08401036117160002,0.767262587667,/tmpdir/job/1382628.102,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
102,0.14811946767100004,0.0959296661839,0.755935309922,/tmpdir/job/1382628.103,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
103,0.053023269725,0.022646237556999994,0.9243230624019999,/tmpdir/job/1382628.104,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
104,0.09261498968399999,0.030017254109,0.8773593813930001,/tmpdir/job/1382628.105,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
105,0.15691110577200001,0.09129066498100001,0.751789643287,/tmpdir/job/1382628.106,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
106,0.081659836453,0.037417142416,0.8809144035609999,/tmpdir/job/1382628.107,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
107,0.1203545100925,0.06389646628,0.8157402922899999,/tmpdir/job/1382628.108,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
108,0.06517545301500001,0.016908641717,0.9179086020000001,/tmpdir/job/1382628.109,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
109,0.24393898028400002,0.15065340664000001,0.6053968560490001,/tmpdir/job/1382628.110,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
110,0.030015738496999997,0.013929130033500001,0.9560484711299999,/tmpdir/job/1382628.111,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
111,0.980630337,0.011046841857000002,0.008291070161000001,/tmpdir/job/1382628.112,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
112,0.24900973285,0.059867504519000005,0.6911099615009999,/tmpdir/job/1382628.113,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,5,0.1
