,C,D,L,uid,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,p,zeta,alpha,beta
12,0.154108392723,0.12659927674000002,0.7192924254449999,13.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.25,,
13,0.129780295602,0.09350531900100001,0.776714106379,14.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.25,,
14,0.141753073217,0.15080248880499997,0.707443425535,15.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.25,,
15,0.09578302811000002,0.0767870455624,0.827428100354,16.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.25,,
16,0.155080342352,0.125285282947,0.719629430097,17.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.30000000000000004,,
17,0.15248580782800003,0.114066410139,0.7334390662589999,18.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.30000000000000004,,
18,0.159273849901,0.15593127797800002,0.684784018249,19.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.30000000000000004,,
19,0.106538204434,0.082785367511,0.8106648215300001,20.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.30000000000000004,,
20,0.158670604243,0.133433206799,0.707874227193,21.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.35,,
21,0.17975528192200002,0.108387977249,0.711839803937,22.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.35,,
22,0.171397690095,0.15688378139799997,0.6716890256980002,23.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.35,,
23,0.126165164105,0.104567718238,0.7692446495349999,24.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.35,,
24,0.17221485243300003,0.14276484382100002,0.685018490519,25.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.4,,
25,0.20812223315700001,0.116874911481,0.6749976956089999,26.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.4,,
26,0.166274515116,0.17038665698699998,0.6633345250120001,27.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.4,,
27,0.148371298919,0.11332888881000001,0.7382945429950001,28.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.4,,
28,0.181168777094,0.161508349982,0.657326983831,29.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.45000000000000007,,
29,0.228217641701,0.12043920127399999,0.651353063249,30.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.45000000000000007,,
30,0.17723504340700003,0.158629974182,0.6641402526619999,31.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.45000000000000007,,
31,0.15649229991400004,0.10975226800599999,0.7337625037979998,32.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.45000000000000007,,
32,0.17748591744099998,0.157084354967,0.665426317782,33.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.5,,
33,0.22737001756000005,0.11084623861899999,0.6617816567,34.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.5,,
34,0.17728701694000007,0.15645830181399997,0.6662533835030001,35.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.5,,
35,0.176640405249,0.11574652342499998,0.7076093414919999,36.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.5,,
36,0.18807174492899997,0.145636001367,0.666275665302,37.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.55,,
37,0.252404743516,0.11132417441000002,0.6362627574780001,38.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.55,,
38,0.18413495959600001,0.159713215868,0.6561362190660001,39.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.55,,
39,0.181636283645,0.128562504643,0.689790656943,40.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.55,,
40,0.20303831426400004,0.14774996150699998,0.6492068117920001,41.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.6,,
41,0.261348244892,0.10296907168,0.6356819046440001,42.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.6,,
42,0.18087709824800005,0.14833071748999999,0.670787742687,43.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.6,,
43,0.198819715869,0.125702104259,0.675475355928,44.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.6,,
44,0.19778486533099995,0.14610097606900002,0.656092342625,45.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.65,,
45,0.257215742466,0.108820271779,0.63394362059,46.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.65,,
46,0.187730369376,0.14146655797,0.670781882931,47.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.65,,
47,0.211876260681,0.122278416053,0.665826272146,48.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.65,,
48,0.20959824364100002,0.138136810617,0.6522570788940001,49.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.7000000000000001,,
49,0.23823334969600005,0.105581739037,0.656176384205,50.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.7000000000000001,,
50,0.201913634167,0.139566242358,0.6585102856030001,51.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.7000000000000001,,
51,0.203970404813,0.12291166895399999,0.673109616275,52.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.7000000000000001,,
52,0.19767418557700003,0.13368271366200002,0.6686347269340001,53.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.75,,
53,0.25750684789200007,0.100319508039,0.642171967903,54.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.75,,
54,0.19017850221699997,0.13477100222900001,0.67504149066,55.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.75,,
55,0.20702862791999999,0.11539701309800003,0.67757166749,56.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.75,,
56,0.19143101927000003,0.12117591511399999,0.6873820008749999,57.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.8,,
57,0.24902546727500002,0.09737251829399998,0.653598373963,58.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.8,,
58,0.179033289556,0.11563074268800003,0.705323266273,59.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.8,,
59,0.21052528417800004,0.10982194967700001,0.67964855083,60.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.8,,
60,0.18225171797000003,0.112441363618,0.7052886940499999,61.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.85,,
61,0.23078691593000003,0.08255001014999999,0.6866490179300001,62.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.85,,
62,0.157327419425,0.10708871451699999,0.7355660453549999,63.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.85,,
63,0.19200664568500003,0.110540617172,0.697441378555,64.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.85,,
64,0.13760102469000002,0.09445415895,0.7679341818299998,65.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.9,,
65,0.23439196526000003,0.06929909144,0.6963038785700001,66.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.9,,
66,0.12546357378,0.08291948308000001,0.79160697325,67.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.9,,
67,0.17715890938,0.080331973125,0.7425054229100001,68.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.9,,
68,0.15225061690699998,0.07865712027000002,0.769084003369,69.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,
